Betegnelse;Effekt ved 230V;Lengde*;Nominell elementmotstand;Ytre diameter;Vekt pr. stk.;El. nr.;Nexans art. nr.;GTIN
TXLP/2R 200/17;200;11,7;264,5;7,0;1,2;10 366 40;10224120;7045210068511
TXLP/2R 300/17;300;17,6;176,3;7,0;1,4;10 366 42;10224185;7045210068528
TXLP/2R 400/17;400;23,5;132,3;7,0;1,8;10 366 44;10224186;7045210068535
TXLP/2R 500/17;500;29,3;105,8;7,0;2,2;10 366 46;10224187;7045210068542
TXLP/2R 600/17;600;35,2;88,2;7,0;2,6;10 366 48;10224188;7045210068559
TXLP/2R 700/17;700;41,0;75,6;7,0;2,9;10 366 50;10224189;7045210068566
TXLP/2R 840/17;840;49,7;63,0;7,0;3,5;10 366 52;10224190;7045210068573
TXLP/2R 1000/17;1000;58,3;52,9;7,0;4,1;10 366 54;10224191;7045210068580
TXLP/2R 1250/17;1250;72,4;42,3;7,0;5,0;10 366 56;10224192;7045210068597
TXLP/2R 1370/17;1370;80,8;38,6;7,0;5,3;10 366 58;10224193;7045210068801
TXLP/2R 1500/17;1500;86,4;35,3;7,0;6,1;10 366 59;10263199;7045210079562
TXLP/2R 1700/17;1700;100,0;31,1;7,0;6,7;10 366 60;10224204;7045210068818
TXLP/2R 2100/17;2100;123,7;25,2;7,0;8,3;10 366 62;10224205;7045210068825
TXLP/2R 2600/17;2600;154,5;20,3;7,0;10,1;10 366 64;10224206;7045210068832
TXLP/2R 3300/17;3300;194,0;16,0;7,0;12,4;10 366 66;10224207;7045210068849
