El-number,Effect,Width,Length,Area,R_min,R_max,I,Weight,Type,Name,MainSpec,Voltage,isMat,outside,
1037460,2700,"0,5",18,9,56,65,"6,8","11,7",ØS-Snømatte,ØS-Snømatte 300,300,400,TRUE,TRUE,1
1037461,3000,"0,5",20,10,51,59,"7,5","12,8",ØS-Snømatte,ØS-Snømatte 300,300,400,TRUE,TRUE,1
1037462,3600,"0,5",24,12,42,49,9,"14,9",ØS-Snømatte,ØS-Snømatte 300,300,400,TRUE,TRUE,1
1037470,3000,1,10,10,51,59,"7,5","12,9",ØS-Snømatte,ØS-Snømatte 300,300,400,TRUE,TRUE,1
1037471,3600,1,12,12,42,49,9,"15,1",ØS-Snømatte,ØS-Snømatte 300,300,400,TRUE,TRUE,1
1037472,4500,1,15,15,34,39,"11,3","18,7",ØS-Snømatte,ØS-Snømatte 300,300,400,TRUE,TRUE,1
1037473,5100,1,17,17,30,35,"12,8","20,9",ØS-Snømatte,ØS-Snømatte 300,300,400,TRUE,TRUE,1
1037474,6000,1,20,20,25,29,15,"24,2",ØS-Snømatte,ØS-Snømatte 300,300,400,TRUE,TRUE,1
1037430,1050,"0,5",7,"3,5",47,56,"4,6","5,5",ØS-Snømatte,ØS-Snømatte 300,300,230,TRUE,TRUE,1
1037431,1500,"0,5",10,5,33,39,"6,5","7,1",ØS-Snømatte,ØS-Snømatte 300,300,230,TRUE,TRUE,1
1037432,1800,"0,5",12,6,27,33,"7,8","8,2",ØS-Snømatte,ØS-Snømatte 300,300,230,TRUE,TRUE,1
1037433,2100,"0,5",14,7,23,28,"9,1","9,3",ØS-Snømatte,ØS-Snømatte 300,300,230,TRUE,TRUE,1
1037434,2400,"0,5",16,8,20,25,"10,4","10,6",ØS-Snømatte,ØS-Snømatte 300,300,230,TRUE,TRUE,1
1037435,2700,"0,5",18,9,18,22,"11,7","11,7",ØS-Snømatte,ØS-Snømatte 300,300,230,TRUE,TRUE,1
1037436,3000,"0,5",20,10,16,20,13,"12,8",ØS-Snømatte,ØS-Snømatte 300,300,230,TRUE,TRUE,1
1037437,3600,"0,5",24,12,14,17,"15,7",15,ØS-Snømatte,ØS-Snømatte 300,300,230,TRUE,TRUE,1
