El-number,Effect,Length,R_min,R_nom,R_max,I,Weigth,Type,Name,MainSpec,Voltage,per_meter,isMat,usage,self_limiting,inside,outside,,,
1037200,110,7,457,"480,9090909",529,"0,5","0,7",30-21,30-21 16,16,230,FALSE,FALSE,"low_profile, snowmelt, frost_protection_gutter",FALSE,TRUE,TRUE,,R_min_factor,"0,94"
1037201,160,10,314,"330,625",364,"0,7","0,8",30-21,30-21 16,16,230,FALSE,FALSE,"low_profile, snowmelt, frost_protection_gutter",FALSE,TRUE,TRUE,,R_max_factor,"1,08"
1037202,220,14,228,"240,4545455",265,1,1,30-21,30-21 16,16,230,FALSE,FALSE,"low_profile, snowmelt, frost_protection_gutter",FALSE,TRUE,TRUE,,,
1037203,300,19,168,"176,3333333",194,"1,3","1,2",30-21,30-21 16,16,230,FALSE,FALSE,"low_profile, snowmelt, frost_protection_gutter",FALSE,TRUE,TRUE,,,
1037204,400,24,126,"132,25",145,"1,7","1,4",30-21,30-21 16,16,230,FALSE,FALSE,"low_profile, snowmelt, frost_protection_gutter",FALSE,TRUE,TRUE,,,
1037205,500,31,101,"105,8",116,"2,2","1,7",30-21,30-21 16,16,230,FALSE,FALSE,"low_profile, snowmelt, frost_protection_gutter",FALSE,TRUE,TRUE,,,
1036360,600,38,83,"88,16666667",97,"2,6",2,30-21,30-21 16,16,230,FALSE,FALSE,"low_profile, snowmelt, frost_protection_gutter",FALSE,TRUE,TRUE,,,
1036361,700,44,72,"75,57142857",84,3,"2,2",30-21,30-21 16,16,230,FALSE,FALSE,"low_profile, snowmelt, frost_protection_gutter",FALSE,TRUE,TRUE,,,
1037207,800,50,63,"66,125",73,"3,5","2,5",30-21,30-21 16,16,230,FALSE,FALSE,"low_profile, snowmelt, frost_protection_gutter",FALSE,TRUE,TRUE,,,
1037208,900,55,56,"58,77777778",65,"3,9","2,7",30-21,30-21 16,16,230,FALSE,FALSE,"low_profile, snowmelt, frost_protection_gutter",FALSE,TRUE,TRUE,,,
1037232,1000,64,50,"52,9",59,"4,3","3,1",30-21,30-21 16,16,230,FALSE,FALSE,"low_profile, snowmelt, frost_protection_gutter",FALSE,TRUE,TRUE,,,
1037209,1150,72,44,46,51,5,"3,5",30-21,30-21 16,16,230,FALSE,FALSE,"low_profile, snowmelt, frost_protection_gutter",FALSE,TRUE,TRUE,,,
1037213,1300,82,39,"40,69230769",45,"5,7","3,9",30-21,30-21 16,16,230,FALSE,FALSE,"low_profile, snowmelt, frost_protection_gutter",FALSE,TRUE,TRUE,,,
1037210,1500,92,34,"35,26666667",39,"6,5","4,3",30-21,30-21 16,16,230,FALSE,FALSE,"low_profile, snowmelt, frost_protection_gutter",FALSE,TRUE,TRUE,,,
1037211,1800,112,28,"29,38888889",33,"7,8","5,2",30-21,30-21 16,16,230,FALSE,FALSE,"low_profile, snowmelt, frost_protection_gutter",FALSE,TRUE,TRUE,,,
1037214,2000,126,25,"26,45",29,"8,7","5,8",30-21,30-21 16,16,230,FALSE,FALSE,"low_profile, snowmelt, frost_protection_gutter",FALSE,TRUE,TRUE,,,
1037212,2300,144,22,23,25,10,"6,5",30-21,30-21 16,16,230,FALSE,FALSE,"low_profile, snowmelt, frost_protection_gutter",FALSE,TRUE,TRUE,,,
1036362,2550,155,20,"20,74509804",23,"11,1",7,30-21,30-21 16,16,230,FALSE,FALSE,"low_profile, snowmelt, frost_protection_gutter",FALSE,TRUE,TRUE,,,
1036363,2800,175,18,"18,89285714",21,"12,2","7,8",30-21,30-21 16,16,230,FALSE,FALSE,"low_profile, snowmelt, frost_protection_gutter",FALSE,TRUE,TRUE,,,
1036364,3000,188,17,"17,63333333",20,13,"8,4",30-21,30-21 16,16,230,FALSE,FALSE,"low_profile, snowmelt, frost_protection_gutter",FALSE,TRUE,TRUE,,,
1037215,44,6,1142,"1202,272727",1323,"0,2","0,6",30-21L,30-21L 8,8,230,FALSE,FALSE,"low_profile, frost_protection_gutter, LamiFlex, frost_protection_pipe",FALSE,TRUE,FALSE,,,
1037216,60,8,838,"881,6666667",970,"0,3","0,7",30-21L,30-21L 8,8,230,FALSE,FALSE,"low_profile, frost_protection_gutter, LamiFlex, frost_protection_pipe",FALSE,TRUE,FALSE,,,
1037217,75,10,670,"705,3333333",776,"0,4","0,8",30-21L,30-21L 8,8,230,FALSE,FALSE,"low_profile, frost_protection_gutter, LamiFlex, frost_protection_pipe",FALSE,TRUE,FALSE,,,
1037218,110,15,457,"480,9090909",529,"0,5",1,30-21L,30-21L 8,8,230,FALSE,FALSE,"low_profile, frost_protection_gutter, LamiFlex, frost_protection_pipe",FALSE,TRUE,FALSE,,,
1037219,150,20,335,"352,6666667",388,"0,7","1,2",30-21L,30-21L 8,8,230,FALSE,FALSE,"low_profile, frost_protection_gutter, LamiFlex, frost_protection_pipe",FALSE,TRUE,FALSE,,,
1037220,190,25,265,"278,4210526",306,"0,8","1,4",30-21L,30-21L 8,8,230,FALSE,FALSE,"low_profile, frost_protection_gutter, LamiFlex, frost_protection_pipe",FALSE,TRUE,FALSE,,,
