El-number,tags,Name,Description,Art_nr,EAN_Tekst,Type,Effect,Area,Width,Length,MainSpec,Voltage,per_meter,self_limiting,isMat,inside,outside,effekt_mod,wm_mod,lengde_mod,type_mod
1011250,"cable, inside, outside, concrete",VK02 170W/10m 17W/m,Elektrisk varmekabel for nedstøping,,VK02 170W/10m v-kabel 17W/m,VK02, 170,,,10,17,230,FALSE,FALSE,FALSE,TRUE,FALSE,1,1,,1
1011251,"cable, inside, outside, concrete",VK02 255W/15m 17W/m,Elektrisk varmekabel for nedstøping,,VK02 255W/15m v-kabel 17W/m,VK02, 255,,,15,17,230,FALSE,FALSE,FALSE,TRUE,FALSE,1,1,,1
1011265,"cable, inside, outside, concrete",SVK 10 150W/15m 10W/m,Varmekabel i ferdige elementer 10W/m,7071236012955,TF SVK 10 150W/15m 10W/m,SVK 10, 150,,,15,10,230,FALSE,FALSE,FALSE,TRUE,FALSE,1,1,,2
1011252,"cable, inside, outside, concrete",VK02 340W/20m 17W/m,Elektrisk varmekabel for nedstøping,,VK02 340W/20m v-kabel 17W/m,VK02, 340,,,20,17,230,FALSE,FALSE,FALSE,TRUE,FALSE,1,1,,1
1011253,"cable, inside, outside, concrete",VK02 425W/25m 17W/m,Elektrisk varmekabel for nedstøping,,VK02 425W/25m v-kabel 17W/m,VK02, 425,,,25,17,230,FALSE,FALSE,FALSE,TRUE,FALSE,1,1,,1
1001019,"mat, concrete, inside, outside","160W 0,5m2/0,6x0,8m 77W",Ultratynn varmekabelmatte for nedstøping,7071236000051,"TF160W/0,5m2 0,6x0,8m 77W",TF 160W, 77,"0,5","0,6","0,5",160,230,FALSE,FALSE,TRUE,TRUE,FALSE,,,,1
1001020,"mat, concrete, inside, outside","160W 1,0m2/0,3x3,3m 160W",Ultratynn varmekabelmatte for nedstøping,7071236000068,"TF160W/1,0m2 0,3x3,3m 160W",TF 160W, 160,"1,0","0,3","1,0",160,230,FALSE,FALSE,TRUE,TRUE,FALSE,,,,1
1001021,"mat, concrete, inside, outside","160W 1,5m2/0,3x5m2 40W",Ultratynn varmekabelmatte for nedstøping,7071236000075,"TF160W/1,5m2 0,3x5m 240W",TF 160W, 240,"1,5","0,3","1,5",160,230,FALSE,FALSE,TRUE,TRUE,FALSE,,,,1
1001022,"mat, concrete, inside, outside","160W 2,0m2/0,3x6,6m 320W",Ultratynn varmekabelmatte for nedstøping,7071236000082,"TF160W/2,0m2 0,3x6,6m 320W",TF 160W, 320,"2,0","0,3","2,0",160,230,FALSE,FALSE,TRUE,TRUE,FALSE,,,,1
1001023,"mat, concrete, inside, outside","160W 2,5m2/0,3x8,3m 400W",Ultratynn varmekabelmatte for nedstøping,7071236000099,"TF160W/2,5m2 0,3x8,3m 400W",TF 160W, 400,"2,5","0,3","2,5",160,230,FALSE,FALSE,TRUE,TRUE,FALSE,,,,1
