El.nr.,"EffektW","Lengdem","ResistansminΩ","ResistansmaksΩ","Drifts-strøm (I)A","Vektkg"
10 372 00,110,7,457,529,"0,5","0,7"
10 372 01,160,10,314,364,"0,7","0,8"
10 372 02,220,14,228,265,"1,0","1,0"
10 372 03,300,19,168,194,"1,3","1,2"
10 372 04,400,24,126,145,"1,7","1,4"
10 372 05,500,31,101,116,"2,2","1,7"
10 363 60,600,38,83,97,"2,6","2,0"
10 363 61,700,44,72,84,"3,0","2,2"
10 372 07,800,50,63,73,"3,5","2,5"
10 372 08,900,55,56,65,"3,9","2,7"
10 372 32,1000,64,50,59,"4,3","3,1"
10 372 09,1150,72,44,51,"5,0","3,5"
10 372 13,1300,82,39,45,"5,7","3,9"
10 372 10,1500,92,34,39,"6,5","4,3"
10 372 11,1800,112,28,33,"7,8","5,2"
10 372 14,2000,126,25,29,"8,7","5,8"
10 372 12,2300,144,22,25,"10,0","6,5"
10 363 62,2550,155,20,23,"11,1","7,0"
10 363 63,2800,175,18,21,"12,2","7,8"
10 363 64,3000,188,17,20,"13,0","8,4"
10 630 00,1050,35,47,56,"4,6","2,9"
10 630 01,1500,50,33,39,"6,5","3,7"
10 630 02,1800,60,27,33,"7,8","4,1"
10 630 03,2100,70,23,28,"9,1","5,2"
10 630 04,2400,80,20,25,"10,4","5,7"
10 630 05,2700,90,18,22,"11,7","6,0"
10 630 06,3000,100,16,20,"13,0","6,5"
10 630 07,3600,120,14,17,"15,7","7,5"
10 630 08,4500,150,11,13,"19,6","10,7"
10 630 09,5100,170,9,12,"22,2","12,0"
10 630 10,6000,200,8,10,"26,1","13,8"
