El. nr.,"EffektW","Breddem","Lengdem","Arealm2","ResistansminΩ","ResistansmaksΩ","Drifts-strøm (I)A","Vektkg"
10 363 20,40,"0,5",1,"0,5",1256,1455,"0,2","0,7"
10 363 21,80,"0,5",2,"1,0",628,727,"0,4","0,8"
10 363 22,120,"0,5",3,"1,5",419,485,"0,5","1,0"
10 363 23,160,"0,5",4,"2,0",314,364,"0,7","1,1"
10 363 24,200,"0,5",5,"2,5",252,292,"0,9","1,2"
10 363 25,240,"0,5",6,"3,0",209,242,"1,0","1,4"
10 363 26,280,"0,5",7,"3,5",179,208,"1,2","1,5"
10 363 27,320,"0,5",8,"4,0",157,182,"1,4","1,6"
10 363 28,400,"0,5",10,"5,0",125,145,"1,8","1,9"
10 363 29,480,"0,5",12,"6,0",104,121,"2,1","2,3"
10 363 30,560,"0,5",14,"7,0",90,104,"2,5","2,6"
10 363 31,640,"0,5",16,"8,0",78,91,"2,8","2,8"
10 363 32,720,"0,5",18,"9,0",70,81,"3,2","3,1"
10 363 33,800,"0,5",20,"10,0",62,73,"3,5","3,4"
10 363 34,880,"0,5",22,"11,0",57,66,"3,9","3,6"
10 363 35,960,"0,5",24,"12,0",52,61,"4,2","3,9"
